year,name,sex,n
1880,Lafayette,M,22
1880,Lanie,F,6
1880,Larkin,M,16
1880,Larry,M,13
1880,Laura,F,1012
1880,Laurence,M,25
1880,Lauretta,F,6
1880,Lavenia,F,8
1880,Lavern,M,5
1880,Lavina,F,9
1880,Lavinia,F,21
1880,Lavonia,F,5
1880,Lawrence,M,257
1880,Lawson,M,20
1880,Lawyer,M,5
1880,Layton,M,5
1880,Lea,F,7
1880,Leah,F,54
1880,Leana,F,6
1880,Leander,M,17
1880,Leanna,F,7
1880,Leatha,F,6
1880,Leda,F,9
1880,Lee,F,28
1880,Lee,M,361
1880,Leila,F,80
1880,Lela,F,106
1880,Leland,M,9
1880,Lelia,F,65
1880,Lem,M,12
1880,Lemuel,M,59
1880,Len,M,7
1880,Lena,F,603
1880,Lenard,M,8
1880,Lenna,F,23
1880,Lennie,F,11
1880,Lenora,F,66
1880,Lenore,F,12
1880,Leo,F,6
1880,Leo,M,147
1880,Leola,F,24
1880,Leon,M,118
1880,Leona,F,137
1880,Leonard,M,200
1880,Leone,F,7
1880,Leonidas,M,5
1880,Leonie,F,10
1880,Leonora,F,26
1880,Leopold,M,8
1880,Leora,F,28
1880,Leota,F,30
1880,Leroy,M,124
1880,Leslie,F,8
1880,Leslie,M,79
1880,Lessie,F,18
1880,Lester,M,109
1880,Leta,F,18
1880,Letha,F,25
1880,Letitia,F,22
1880,Lettie,F,62
1880,Letty,F,5
1880,Levi,M,112
1880,Levy,M,6
1880,Lew,M,20
1880,Lewis,M,517
1880,Libbie,F,19
1880,Lida,F,49
1880,Liddie,F,12
1880,Lige,M,15
1880,Lila,F,36
1880,Lilian,F,19
1880,Lilla,F,35
1880,Lillian,F,672
1880,Lillie,F,647
1880,Lillie,M,5
1880,Lilly,F,64
1880,Lily,F,41
1880,Lina,F,49
1880,Lincoln,M,10
1880,Linda,F,27
1880,Lindsay,M,7
1880,Lindsey,M,11
1880,Linnie,F,41
1880,Linwood,M,5
1880,Lionel,M,8
1880,Liza,F,18
1880,Lizzie,F,388
1880,Llewellyn,M,9
1880,Lloyd,M,104
1880,Logan,M,13
1880,Lois,F,53
1880,Lola,F,138
1880,Lollie,F,5
1880,Loma,F,7
1880,Lon,M,64
1880,Lona,F,28
1880,Lonie,M,7
1880,Lonnie,F,13
1880,Lonnie,M,53
1880,Lonzo,M,10
1880,Lora,F,74
1880,Loran,M,5
1880,Loren,M,22
1880,Lorena,F,29
1880,Lorene,F,5
1880,Lorenzo,M,48
1880,Loretta,F,41
1880,Lorin,M,5
1880,Lottie,F,245
1880,Lou,F,131
1880,Lou,M,14
1880,Louella,F,34
1880,Louetta,F,6
1880,Louie,F,14
1880,Louie,M,33
1880,Louis,F,5
1880,Louis,M,828
1880,Louisa,F,126
1880,Louise,F,635
1880,Louvenia,F,15
1880,Love,F,5
1880,Lovie,F,14
1880,Lovina,F,8
1880,Loyd,M,14
1880,Lucia,F,15
1880,Lucian,M,18
1880,Lucie,F,23
1880,Lucien,M,19
1880,Lucile,F,40
1880,Lucille,F,40
1880,Lucina,F,5
1880,Lucinda,F,63
1880,Lucious,M,10
1880,Lucius,M,38
1880,Lucretia,F,29
1880,Lucy,F,590
1880,Ludie,F,15
1880,Ludwig,M,9
1880,Lue,F,19
1880,Luella,F,111
1880,Luis,M,12
1880,Luke,M,43
1880,Lula,F,621
1880,Lulu,F,249
1880,Luna,F,15
1880,Lura,F,53
1880,Luther,M,260
1880,Luvenia,F,16
1880,Lyda,F,32
1880,Lydia,F,302
1880,Lyle,M,7
1880,Lyman,M,31
1880,Lynn,F,5
1880,Lynn,M,30
1880,Mabel,F,808
1880,Mabelle,F,39
1880,Mable,F,83
1880,Mac,M,7
1880,Mace,M,5
1880,Mack,M,104
1880,Madeline,F,22
1880,Madge,F,41
1880,Madie,F,6
1880,Madison,M,22
1880,Mae,F,344
1880,Magdalen,F,7
1880,Magdalena,F,19
1880,Magdalene,F,13
1880,Maggie,F,582
1880,Magnolia,F,8
1880,Mahala,F,9
1880,Mahalia,F,5
1880,Mahlon,M,14
1880,Mai,F,6
1880,Major,M,28
1880,Malachi,M,10
1880,Malcolm,M,18
1880,Malcom,M,5
1880,Malinda,F,35
1880,Malissa,F,22
1880,Mallie,F,11
1880,Malvina,F,11
1880,Mamie,F,436
1880,Mammie,F,10
1880,Manda,F,10
1880,Mandy,F,34
1880,Manford,M,9
1880,Manley,M,8
1880,Manuel,M,75
1880,Manuela,F,5
1880,Marcella,F,14
1880,Marcellus,M,11
1880,Marcia,F,9
1880,Marcus,M,47
1880,Margaret,F,1578
1880,Margarett,F,5
